attendance_rate,task_completion_rate,avg_task_rating,days_since_last_task,communication_score,skill_match_score,week_number,performance_label
0.9367786828190987,0.8599694988664408,4.789863544579326,1,4.54803235666424,0.8563219571525164,7,2
0.7078059541271672,0.5903815849322918,3.6120085299594553,2,3.886380361960142,0.41840671366197785,6,1
0.6606707818816295,0.6241353372006548,3.5275636489994198,1,3.5205438373048583,0.5718593045354745,7,1
0.795824777812234,0.6391836406922323,3.492054489382401,1,3.8499593305032054,0.47653582951540463,4,1
0.9390480671396169,0.9895256448157637,4.859823832165237,2,4.004363269650309,0.7500859266241596,5,2
0.688146485203769,0.6413530079892522,3.7914097505069755,4,3.8286529061182892,0.7055531284192145,5,1
0.8722627816368325,0.8634874367289553,4.273924473710751,1,4.337454278964229,0.9612065366372318,7,2
0.8910660645098122,0.9571961912363086,4.893407109446681,1,4.723443662354912,0.8606969798042736,1,2
0.7476755649455752,0.7760158993971847,3.5224968088905886,4,3.9833407684142266,0.4942244978099476,9,1
0.5637392679925682,0.4797619378053902,1.9332732906993824,13,3.2435760245472105,0.2632892333296469,1,0
0.6812738620029192,0.5685251325549618,3.317388850027885,3,3.852048415804693,0.6180950713896987,10,1
0.47495914173554465,0.32028365252781804,1.839150161992408,13,1.4703028993094032,0.23184920246999108,10,0
0.9300995296171339,0.946729183422247,4.121179244972689,2,4.68908765374823,0.946981963804009,7,2
0.7228436940900798,0.7927769696165574,3.8652945592010246,3,3.50972607528818,0.5170261623331216,12,1
0.7349060970880834,0.7756156417555716,3.22047048099937,3,3.4683005914563854,0.7327199870449923,2,1
0.7754737679552068,0.784666493060455,3.67283168992043,4,3.8508527573220954,0.5115926665587426,1,1
0.41611048304870263,0.4361014437319096,1.1802108399966835,11,1.2634188348820148,0.017785433517774174,4,0
0.8351434690213103,0.8329245565554292,3.0652767575664637,3,3.680953291403576,0.7429365407113987,3,1
0.6878517403090445,0.6324134457564013,3.2889685249210583,2,3.9525167896845987,0.6942693972019596,7,1
0.47675579650204414,0.4030837026451303,2.9792499711333793,4,2.3588455433566153,0.04086267287338913,6,0
0.9302205979885128,0.9964280462482126,4.715108399666758,2,4.737426085770677,0.7859558646781368,9,2
0.4292402222045725,0.4550082937482174,1.5611014295916517,11,2.8696790102305716,0.017432580116912455,4,0
0.9359548115945152,0.9792613742377443,4.631256988657844,1,4.384239620137381,0.8350370083545796,12,2
0.9135918270210943,0.9732746419878039,4.693559691776693,0,4.271946039418449,0.9077076767383174,3,2
0.5194653154591296,0.439716556746493,2.9193097201669507,11,2.358251308408221,0.2569979339043625,9,0
0.47577632837041106,0.4102327501531931,2.334006366817196,14,2.9122081538553206,0.40649286935804674,2,0
0.46746981762306794,0.42327633965539946,2.1989552543856252,7,2.3427663545463693,0.29342055901043956,8,0
0.6502409346139432,0.8092620873958738,3.5217118013669184,2,3.0904189777916606,0.7696640612289277,12,1
0.7942055980522658,0.69517966437684,3.9117851123817715,4,3.7537201765621298,0.4988179655434405,9,1
0.8103953202065755,0.5903976782252952,3.5202319605040255,4,3.483877264564259,0.7500376073436128,11,1
0.5206669301228466,0.38547001951478627,1.5461079572082679,8,2.3517461916122757,0.04826723509772041,9,0
0.5057771011088396,0.43695448829899625,3.013287418394763,11,2.8056673296391477,0.4278482340531429,11,0
0.8789643351512567,0.8847212820647947,4.881568571552241,0,4.4196273828068104,0.7151867416807222,11,2
0.9728182345664966,0.8511946607118176,4.9321049498391245,2,4.515005659709723,0.8606661444639018,5,2
